Jul.Day,YYYY/MM/DD,Wdy,IDR/EUR
2457480,4/1/2016,Fri,15004
2457483,4/4/2016,Mon,14993
2457484,4/5/2016,Tue,14986
2457485,4/6/2016,Wed,15095
2457486,4/7/2016,Thu,14987
2457487,4/8/2016,Fri,14971
2457490,4/11/2016,Mon,15035
2457491,4/12/2016,Tue,14882
2457492,4/13/2016,Wed,14875
2457493,4/14/2016,Thu,14904
2457494,4/15/2016,Fri,14817
2457497,4/18/2016,Mon,14958
2457498,4/19/2016,Tue,14997
2457499,4/20/2016,Wed,14900
2457500,4/21/2016,Thu,14806
2457501,4/22/2016,Fri,14838
2457504,4/25/2016,Mon,14890
2457505,4/26/2016,Tue,14872
2457506,4/27/2016,Wed,14901
2457507,4/28/2016,Thu,14953
2457508,4/29/2016,Fri,15112
2457511,5/2/2016,Mon,15210
2457512,5/3/2016,Tue,15205
2457513,5/4/2016,Wed,15257
2457514,5/5/2016,Thu,15109
2457515,5/6/2016,Fri,15057
2457518,5/9/2016,Mon,15118
2457519,5/10/2016,Tue,15055
2457520,5/11/2016,Wed,15302
2457521,5/12/2016,Thu,15086
2457522,5/13/2016,Fri,15066
2457525,5/16/2016,Mon,15050
2457526,5/17/2016,Tue,15060
2457527,5/18/2016,Wed,15028
2457528,5/19/2016,Thu,15163
2457529,5/20/2016,Fri,15177
2457533,5/24/2016,Tue,15228
2457534,5/25/2016,Wed,15207
2457535,5/26/2016,Thu,15281
2457536,5/27/2016,Fri,15088
2457539,5/30/2016,Mon,15151
2457540,5/31/2016,Tue,15194
2457541,6/1/2016,Wed,15222
2457542,6/2/2016,Thu,15200
2457543,6/3/2016,Fri,15439
2457546,6/6/2016,Mon,15203
2457547,6/7/2016,Tue,15119
2457548,6/8/2016,Wed,15076
2457549,6/9/2016,Thu,15023
2457550,6/10/2016,Fri,14965
2457553,6/13/2016,Mon,15032
2457554,6/14/2016,Tue,14979
2457555,6/15/2016,Wed,14961
2457556,6/16/2016,Thu,14847
2457557,6/17/2016,Fri,14942
2457560,6/20/2016,Mon,14942
2457561,6/21/2016,Tue,14880
2457562,6/22/2016,Wed,14918
2457563,6/23/2016,Thu,15104
2457564,6/24/2016,Fri,14853
2457567,6/27/2016,Mon,14709
2457568,6/28/2016,Tue,14614
2457569,6/29/2016,Wed,14588
